job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
Data Analyst Intern,Klue,"Remote in Vancouver, BC","Efficiency in data gathering and data cleaning.
As a data analyst intern, you will be focused on helping our insights team ensure our data providers and…",Full-time +1,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b90cc6fa70e6fbd4&fccid=97d82e5ee0248fef&vjs=3
"Data Analyst, Courthouse Jury","Tyler Technologies, Inc.","Vancouver, BC","Previous experience in analyzing data.
Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.",,Posted24 days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeE3Wp1M-8tH35RiH3f1Z9bIMggqs9mWwktycFHRXbIf7vsqZ4_y01ylFrHTYta8OTi0IiYX3gIyBQidV3857XGnKBKbCl_0h-ovZRGjPQ80Nd_YsQNSvMyHFdmYeWqoIiCUAhgK6XID8kwyRPWNTxkuvbrnaJ4BaFE0mhNmTQz5__9xY7sCAI-cAdHLQxDrRN0vVT7D4JmxTY9HJRhyFp6fHDpB_YRAd_nWZAQsIixcqIVlTE2h00YGcUBPqo3uihemwHHfgENVm2uaqRUSAZWqjHwIVy2nInkpgfLMxhQVTb3o-L9ItGMmerqG19SklhUHIhw_9lLLPDuYgXHk7h0Al_klsLaa2NMUuMKEefoSy-elaE5ztkh_-u-SWMbOsvy_EDWCQK-hyV5VQOLmXlOth5302ls2WXNbfNuJioLFsD1JfIouLVLK6tCUJ6PZct_uCn4H4YPrHAuzk4rXoG30BUXWN6xZj_1AaCFy3GJZMUnE6fD2JIndq-9HwIK4t7MdvRcxoWpVjEISIkLzn5EBT70OgIAdWrs7OnOqzCOwqTrdGWdY1R&xkcb=SoBA-_M3ceGSDQAK4r0LbzkdCdPP&p=1&fvj=0&vjs=3
Business Data Analyst Co-op Student,EMC Business Solutions LLP,"West Vancouver, BC","To provide all data needed for analyzing problems and important on business process.
The role also involves reviews opportunities that need to be improved…",$25 an hour,EmployerActive 5 days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbWYa3oiD4wDKvOm3HHMG1O5WE0eN4Zht-EpK7b45D64M9yc57xsoxkqSEPeD2eVi0U11aCPBhAITCdoeM38nTqRveYlyGVTC91gpwTLhtpU8IGhrRxSMoEoP2gXzFLM2HOCx8LWtLU6lxo-ODt3AFxbXk9MmisRbBx46cXtCPfvGBbWcxoz4g-f53l440OF-Ct1Y7CgcFxlzQdSrfjfsGMTctBuxWv124b2nsuJg3QrgtaDtOU3wIuwZ36yz5ecgwVgCUKmVPiSFd50Ec3YBAxYLf8vsK_WmiEBOt8MbHrRqEZXpQ25DbvKrtuwndNPWdejvpJ4l3OyD0LDUPPjeb9Z7DXZ5RQGQnGde7noS3vr9N33_tCKYO4EatjvRCC7bphAt0wO0xe5urb763EWoXgPfpt9Co6mTLHvkE3DePkGm_cJnY0lqhU1mp6NNQ1eL6hgWlZMVWuyhqsvX-YFcQiRM_IwPbFifO2PAbT1esPEJs8VD4ahjb61Yazt1u9Yw=&xkcb=SoB6-_M3ceGSDQAK4r0NbzkdCdPP&p=2&fvj=1&vjs=3
Senior Business Analyst (Business Intelligence)-Remote,Telus,"Remote in Vancouver, BC","Transformation program supporting it as a Business Systems Analyst.
TELUS International is looking for a qualified professional to fill a Business Systems…",Full-time,EmployerActive 4 days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoH16t8dIF4MKEIsnnjnCrHTawPdjOK3-tQg9UlhUP3AfuWqZkoGJNeNF8Ti-3b2Bs0PN8B8rBEGzhvS3XlTvQFW4dQAcqX-PLEFrJOP-iIt3t2MKJTyhTA6dyACgAKBAFqKONOkEfqsiWpAk8sZ2YxXd9E36nQaS9rbtbYst0cQavKlxHP6-eTfmdtDhkwOd3yKlUKvhawChlPMgO6yVc4ye2mHCnMW8kId4BaAij-aaCeCd18tEhIKY5vUJSmddRsW1ZVXrbP55VGFe1zVXQTjjZPWhwpzNLxIe8vCs7WtH9XXIio7Df0mkhzkBUxpCdJ_qfcRRcvzAOfn_yMFFIDAvrCwvVsgqx64beWJX1m_mLtaeahHFlRogPT1oJ5G1iDGpbke7waMiqgl_4Sq56LqZtdEO8eww3fEv5tKruBm3yGqSGn3Gk6BaafnVAURY_AnpyZaFsJvpzCVAP0PSzb3oKc-iUzXkin7ehaJSwkCDyIh3xvEG-k1_OOETG8zlZGawi6bNMurfKLGwc070q-a1_5pioT6A=&xkcb=SoCx-_M3ceGSDQgK4r0KbzkdCdPP&p=3&fvj=1&vjs=3
Junior Data Analyst,O2E Brands,"Remote in Vancouver, BC","Passion for data and visualization.
As part of the Business Intelligence department, you will support our business units with their data needs and collaborate…",Full-time,Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b72dfa35b5fdf929&fccid=47b2425a6076f68f&vjs=3
Data Analyst,HSBC,"Vancouver, BC","Good knowledge of data analytics, data visualization and good data literacy.
Using analytics and data science to unlock the value of our data; and.",Full-time,Posted13 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=60f38ca8a7946633&fccid=04c9b139c84ea1b5&vjs=3
Health Data Analyst,BC Patient Safety & Quality Council,"Vancouver, BC","This includes receiving data from multiple sources, cleaning the data as required, analyzing the data, working with subject matter experts to identify…",Full-time,Posted2 days ago,2022-07-01,https://ca.indeed.com/company/BC-Patient-Safety-and-Quality-Council/jobs/Health-Data-Analyst-6e8004d6e06f1501?fccid=49678d9e3bd3174d&vjs=3
Data Analyst,Tetra Tech,"Remote in Vancouver, BC","Work with data from multiple sources and data sizes/granularity.
Perform data analysis and troubleshoot technical issues with platforms, performance, data…",Part-time,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=3363014950375e4e&fccid=997110e6d9c4c093&vjs=3
Data Analyst,Thrive Health,"Remote in Vancouver, BC","Providing technical expertise in data storage structures, data mining, and data cleansing.
Providing quality assurance of imported data.",Full-time,Posted9 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=acd519f7e560e7d3&fccid=58867cca819a76df&vjs=3
Data Analyst,Activision,"Vancouver, BC",Collect data from tools and data sources across the business to better understand capacity usage and efficiency over time.,,Posted16 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=386f9936baa35102&fccid=71147e0539a0a1b7&vjs=3
Data Analyst,E-xact Transactions Canada Ltd,"Remote in Vancouver, BC","Build Product Support dashboards using Kibana and data visualizations using Telemetry TV.
Design and build a suite of data analysis tools using Elastic Stack…",Full-time,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=12ea0cbf2fc7c6bf&fccid=a8769a0f20f2731c&vjs=3
